Date,Predicted_Close,Predicted_Price_Change
2024-05-24,163.81523079321843,-35.18476920678157
2024-05-25,155.20750031414778,-8.607730479070653
2024-05-26,153.03745082692757,-2.1700494872202114
2024-05-27,152.47528170025697,-0.5621691266705966
2024-05-28,152.32964717494187,-0.1456345253151028
2024-05-29,152.29191935611024,-0.03772781883162679
2024-05-30,152.28214565505473,-0.0097737010555079
=======
Date,Predicted_Close,Predicted_Price_Change
2024-05-24,163.81523079321843,-35.18476920678157
2024-05-25,155.20750031414778,-8.607730479070653
2024-05-26,153.03745082692757,-2.1700494872202114
2024-05-27,152.47528170025697,-0.5621691266705966
2024-05-28,152.32964717494187,-0.1456345253151028
2024-05-29,152.29191935611024,-0.03772781883162679
2024-05-30,152.28214565505473,-0.0097737010555079
>>>>>>> 4f1282bed03a40b1d54e2b2e37d3712e25944330

Date,Predicted_Close,Predicted_Price_Change
2024-05-24,163.81523079321843,-35.18476920678157
2024-05-25,155.20750031414778,-8.607730479070653
2024-05-26,153.03745082692757,-2.1700494872202114
2024-05-27,152.47528170025697,-0.5621691266705966
2024-05-28,152.32964717494187,-0.1456345253151028
2024-05-29,152.29191935611024,-0.03772781883162679
2024-05-30,152.28214565505473,-0.0097737010555079
